Date,Open,High,Low,Close,Adj Close,Volume
2019-02-19,71.376503,71.610001,71.239998,71.699997,71.699997,0
2019-02-20,71.305000,71.330002,70.931999,71.599998,71.599998,0
2019-02-21,71.049004,71.233002,70.930000,71.300003,71.300003,0
2019-02-22,71.184998,71.230003,71.019997,71.184998,71.184998,0
2019-02-25,71.027496,71.150002,70.814903,71.030998,71.030998,0
2019-02-26,70.824501,71.430000,70.801498,71.089996,71.089996,0
2019-02-27,70.940002,71.480003,70.919998,70.940002,70.940002,0
2019-02-28,71.215302,71.592499,70.703499,71.190002,71.190002,0
2019-03-01,70.816002,71.059998,70.688301,70.816002,70.816002,0
2019-03-04,70.989998,71.199997,70.739502,70.989998,70.989998,0
2019-03-05,70.900002,70.976501,70.397003,70.900002,70.900002,0
2019-03-06,70.480003,70.683502,70.020203,70.742500,70.742500,0
2019-03-07,70.070503,70.141502,69.782997,70.364998,70.364998,0
2019-03-08,70.487503,70.487503,69.775299,70.487503,70.487503,0
2019-03-11,69.986900,70.023499,69.792000,69.986900,69.986900,0
2019-03-12,69.790100,69.790298,69.481499,69.790100,69.790100,0
2019-03-13,69.615501,69.814499,69.414001,69.845001,69.845001,0
2019-03-14,69.726303,69.726303,69.313004,69.726303,69.726303,0
2019-03-15,69.337303,69.627502,68.915001,69.337303,69.337303,0
2019-03-18,68.953003,69.239998,68.455002,68.953003,68.953003,0
2019-03-19,68.614998,69.171501,68.350502,68.617996,68.617996,0
2019-03-20,69.007599,69.317497,68.741501,69.317497,69.317497,0
2019-03-21,68.780502,68.782997,68.430000,68.824997,68.824997,0
2019-03-22,68.800499,69.251503,68.547997,68.930000,68.930000,0
2019-03-25,69.160599,69.185997,68.790001,69.160500,69.160500,0
2019-03-26,68.923401,69.301498,68.634003,68.923401,68.923401,0
2019-03-27,68.986000,69.195801,68.769997,69.427498,69.427498,0
2019-03-28,69.089996,69.357002,68.914001,69.370003,69.370003,0
2019-03-29,69.181503,69.348999,69.039001,69.500000,69.500000,0
2019-04-01,69.430000,69.610001,69.180000,69.430000,69.430000,0
2019-04-02,69.195503,69.529999,68.739899,69.195297,69.195297,0
2019-04-03,68.910500,69.205002,68.377998,68.910202,68.910202,0
2019-04-04,68.443001,69.430000,68.440002,68.849998,68.849998,0
2019-04-05,68.970497,69.327499,68.939003,68.970398,68.970398,0
2019-04-08,69.160500,69.769997,69.160500,69.160004,69.160004,0
2019-04-09,69.547997,69.714996,69.248001,69.552498,69.552498,0
2019-04-10,69.261497,69.364799,69.081001,69.261803,69.261803,0
2019-04-11,69.140503,69.495003,68.830002,69.140198,69.140198,0
2019-04-12,69.013000,69.430000,69.010002,69.430000,69.430000,0
2019-04-15,69.182999,69.624496,68.924004,69.161003,69.161003,0
2019-04-16,69.388000,69.658997,69.381500,69.809998,69.809998,0
2019-04-17,69.523003,69.661003,69.333000,69.885002,69.885002,0
2019-04-18,69.401001,69.616997,69.355003,69.401001,69.401001,0
2019-04-19,69.388000,69.754997,69.294998,69.380997,69.380997,0
2019-04-22,69.388000,69.914497,69.360001,69.360001,69.360001,0
2019-04-23,69.690002,69.834000,69.429001,70.062500,70.062500,0
2019-04-24,69.760498,69.988998,69.662003,69.758003,69.758003,0
2019-04-25,69.953003,70.477501,69.916000,70.095802,70.095802,0
2019-04-26,70.160500,70.540001,69.764297,70.160004,70.160004,0
2019-04-29,69.843002,70.050003,69.765503,69.842003,69.842003,0
2019-04-30,69.855003,69.920998,69.529999,69.811798,69.811798,0
2019-05-01,69.637497,69.928497,69.438004,69.556000,69.556000,0
2019-05-02,69.637497,69.649002,69.289001,69.632896,69.632896,0
2019-05-03,69.424301,69.769997,69.062500,69.424400,69.424400,0
2019-05-06,69.087997,69.467003,69.087997,69.167999,69.167999,0
2019-05-07,69.403000,69.660004,69.262001,69.400299,69.400299,0
2019-05-08,69.602997,69.910004,69.439003,69.910004,69.910004,0
2019-05-09,69.726997,70.285004,69.683998,70.010002,70.010002,0
2019-05-10,70.193001,70.410004,69.753998,70.410004,70.410004,0
2019-05-13,70.008003,70.636497,69.921501,69.922501,69.922501,0
2019-05-14,70.616997,70.959999,70.240997,70.616997,70.616997,0
